,Stock,RMSE,EVS
0,AAPL,10.0961578,0.874732007
0,AMZN,162.1617516,0.897172702
0,FB,21.30655765,0.807544872
0,GOOG,106.9260892,0.715437991
0,MMM,14.47579264,0.316974807
0,MSFT,11.81667478,0.741544447
0,NFLX,30.72356227,0.722162151
0,NKE,10.24446128,0.777578973
0,NVDA,41.10354945,0.882711703
0,INTC,4.304765867,0.515336639
0,CSCO,5.227380375,0.350809459
0,WMT,7.889581719,0.638189468
0,TSLA,114.0473438,0.799107756
0,EBAY,3.843144004,0.796361235
0,ORCL,3.440158641,0.686445037
0,CBG.BK,8.16272401,0.846502856
0,OSP.BK,2.720285342,0.42898286
0,BBL.BK,27.37545339,-0.059304398
0,SCB.BK,19.19341143,0.069733792
0,LH.BK,0.715373952,0.255563053
0,MINT.BK,5.936842794,0.078441543
0,PTT.BK,4.279097265,0.216459958
0,BANPU.BK,4.113780789,0.104921053
0,ADVANC.BK,11.83074888,0.056490228
0,TRUE.BK,1.2138351,-0.027337054
0,AOT.BK,5.162931847,0.255034307
0,BEM.BK,0.823296623,0.174219997
0,BTS.BK,1.056480494,0.354044258
0,CPALL.BK,5.595524456,0.399435054
0,CPN.BK,7.082143254,-0.060198872
,,21.76229669,0.70147395
